2022-11-10 22:31:10,558 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=28
2022-11-10 22:31:10,560 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=17
2022-11-10 22:31:10,561 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=2
2022-11-10 22:31:10,564 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=18
2022-11-10 22:31:10,566 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=31
2022-11-10 22:31:10,567 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=16
2022-11-10 22:31:10,569 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=3
2022-11-10 22:31:10,570 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=36
2022-11-10 22:31:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=15
2022-11-10 22:31:10,572 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=13
2022-11-10 22:31:10,574 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=27
2022-11-10 22:31:10,575 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=14
2022-11-10 22:31:10,576 [main] INFO  marytts.PStream Gradient GV optimization for feature: (16)  number of iterations=3
2022-11-10 22:31:10,578 [main] INFO  marytts.PStream Gradient GV optimization for feature: (17)  number of iterations=18
2022-11-10 22:31:10,578 [main] INFO  marytts.PStream Gradient GV optimization for feature: (18)  number of iterations=2
2022-11-10 22:31:10,579 [main] INFO  marytts.PStream Gradient GV optimization for feature: (19)  number of iterations=3
2022-11-10 22:31:10,580 [main] INFO  marytts.PStream Gradient GV optimization for feature: (20)  number of iterations=10
2022-11-10 22:31:10,582 [main] INFO  marytts.PStream Gradient GV optimization for feature: (21)  number of iterations=16
2022-11-10 22:31:10,582 [main] INFO  marytts.PStream Gradient GV optimization for feature: (22)  number of iterations=2
2022-11-10 22:31:10,583 [main] INFO  marytts.PStream Gradient GV optimization for feature: (23)  number of iterations=11
2022-11-10 22:31:10,586 [main] INFO  marytts.PStream Gradient GV optimization for feature: (24)  number of iterations=23
2022-11-10 22:31:10,586 [main] INFO  marytts.ParameterGeneration Using f0 from maryXML acoustparams
2022-11-10 22:31:10,588 [main] INFO  marytts.PStream Global variance optimization
2022-11-10 22:31:10,590 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=18
2022-11-10 22:31:10,591 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=2
2022-11-10 22:31:10,592 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=9
2022-11-10 22:31:10,598 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=83
2022-11-10 22:31:10,599 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=5
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1 Request processed in 206 ms.
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1    TextToMaryXML took 1 ms
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1    JTokeniser took 1 ms
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1    Preprocess took 5 ms
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1    OpenNLPPosTagger took 2 ms
2022-11-10 22:31:10,710 [main] INFO  marytts.R 1    JPhonemiser took 1 ms
2022-11-10 22:31:10,711 [main] INFO  marytts.R 1    Prosody took 3 ms
2022-11-10 22:31:10,711 [main] INFO  marytts.R 1    PronunciationModel took 1 ms
2022-11-10 22:31:10,711 [main] INFO  marytts.R 1    AcousticModeller took 9 ms
2022-11-10 22:31:10,711 [main] INFO  marytts.R 1    Synthesis took 182 ms
2022-11-10 22:31:11,976 [main] INFO  marytts.R 1 New request (input type "TEXT", output type "AUDIO", voice "cmu-rms-hsmm", effect "Stadium(amount:150.0)", audio "WAVE")
2022-11-10 22:31:11,976 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:11,976 [main] INFO  marytts.R 1 - TextToMaryXML (marytts.modules.TextToMaryXML)
2022-11-10 22:31:11,977 [main] INFO  marytts.R 1 Next module: TextToMaryXML
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 Handling request using the following modules:
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 - JTokeniser (marytts.language.en.JTokeniser)
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 - Preprocess (marytts.language.en.Preprocess)
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 - OpenNLPPosTagger (marytts.modules.OpenNLPPosTagger)
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 - JPhonemiser (marytts.modules.JPhonemiser)
2022-11-10 22:31:11,978 [main] INFO  marytts.R 1 - Prosody (marytts.language.en.Prosody)
